Name,Symbol,"Unit, Symbol"
Luminous flux,:math:`\Phi_{\small{V}}`,"lumen, lm"
Luminance,:math:`L_{\small{V}}`,"| candela per square metre, cd⋅m :sup:`-2` 
| or lumen per steradian per square metre, 
lm⋅sr :sup:`-1` m :sup:`-2`
"
Illuminance,:math:`E_{\small{V}}`,"lux, lx"
Exposure,:math:`H_{\small{V}}`,"lx⋅s"
